,high,date
0,21.178735733032227,2000-01-04
1,21.315364837646484,2000-01-05
2,22.271835327148438,2000-01-06
3,23.501562118530273,2000-01-07
4,24.048120498657227,2000-01-10
5,24.048120498657227,2000-01-11
6,24.048120498657227,2000-01-12
7,24.458019256591797,2000-01-13
8,25.41448974609375,2000-01-14
9,26.370946884155273,2000-01-17
10,26.097675323486328,2000-01-18
11,26.097675323486328,2000-01-19
12,26.097675323486328,2000-01-20
13,25.82438850402832,2000-01-21
14,27.05413055419922,2000-01-24
15,26.780845642089844,2000-01-25
16,27.327402114868164,2000-01-26
17,27.873943328857422,2000-01-27
18,27.05413055419922,2000-01-28
19,27.05413055419922,2000-01-31
20,26.644216537475586,2000-02-01
26,26.234302520751953,2000-02-09
27,26.91748809814453,2000-02-10
28,26.780845642089844,2000-02-11
29,26.5075740814209,2000-02-14
30,25.96103286743164,2000-02-15
31,25.82438850402832,2000-02-16
32,27.327402114868164,2000-02-17
33,28.693771362304688,2000-02-18
34,28.830400466918945,2000-02-21
35,27.873943328857422,2000-02-22
36,25.96103286743164,2000-02-23
37,25.551118850708008,2000-02-24
38,24.458019256591797,2000-02-25
40,23.638206481933594,2000-02-29
41,23.911476135253906,2000-03-01
42,23.911476135253906,2000-03-02
43,23.638206481933594,2000-03-03
44,23.09164810180664,2000-03-06
45,22.681734085083008,2000-03-07
46,22.408462524414062,2000-03-08
47,22.955020904541016,2000-03-09
48,22.955020904541016,2000-03-10
49,21.58864974975586,2000-03-13
50,20.90546417236328,2000-03-14
51,20.63219451904297,2000-03-15
52,20.63219451904297,2000-03-16
53,21.315364837646484,2000-03-17
54,20.35890769958496,2000-03-20
55,21.725278854370117,2000-03-21
56,23.22829246520996,2000-03-22
57,24.731290817260742,2000-03-23
58,24.32139015197754,2000-03-24
59,24.594661712646484,2000-03-27
60,23.911476135253906,2000-03-28
61,23.638206481933594,2000-03-29
62,23.364919662475586,2000-03-30
63,23.364919662475586,2000-03-31
66,23.501562118530273,2000-04-05
67,23.638206481933594,2000-04-06
68,23.638206481933594,2000-04-07
