,high
2000-07-07 09:00:00,73.12364196777344
2000-07-10 09:00:00,72.37237548828125
2000-07-11 09:00:00,72.87306213378906
2000-07-12 09:00:00,72.37237548828125
2000-07-13 09:00:00,73.62432861328125
2000-07-14 09:00:00,73.62432861328125
2000-07-17 09:00:00,73.62432861328125
2000-07-18 09:00:00,71.8712158203125
2000-07-19 09:00:00,71.8712158203125
2000-07-20 09:00:00,70.61927032470703
2000-07-21 09:00:00,67.86479949951172
2000-07-24 09:00:00,64.60916137695312
2000-07-25 09:00:00,64.10847473144531
2000-07-26 09:00:00,65.36042022705078
2000-07-27 09:00:00,64.60916137695312
2000-07-28 09:00:00,64.8597412109375
2000-07-31 09:00:00,64.10847473144531
2000-08-01 09:00:00,64.8597412109375
2000-08-02 09:00:00,63.85789489746094
2000-08-03 09:00:00,62.60594940185547
2000-08-04 09:00:00,64.35858154296875
2000-08-07 09:00:00,63.106632232666016
2000-08-08 09:00:00,63.106632232666016
2000-08-09 09:00:00,65.1098403930664
2000-08-10 09:00:00,66.61237335205078
2000-08-11 09:00:00,66.61237335205078
2000-08-14 09:00:00,65.8611068725586
2000-08-15 09:00:00,66.11168670654297
2000-08-16 09:00:00,67.61421203613281
2000-08-17 09:00:00,69.61742401123047
2000-08-18 09:00:00,70.36869049072266
2000-08-21 09:00:00,69.61742401123047
2000-08-22 09:00:00,69.11674499511719
2000-08-23 09:00:00,68.61605834960938
2000-08-24 09:00:00,70.36869049072266
2000-08-25 09:00:00,70.36869049072266
2000-08-28 09:00:00,69.86800384521484
2000-08-29 09:00:00,69.11674499511719
2000-08-30 09:00:00,69.11674499511719
2000-08-31 09:00:00,67.61421203613281
2000-09-01 09:00:00,67.61421203613281
2000-09-04 09:00:00,66.86295318603516
2000-09-05 09:00:00,67.36363220214844
2000-09-06 09:00:00,66.36226654052734
2000-09-07 09:00:00,64.10847473144531
2000-09-08 09:00:00,63.357215881347656
2000-09-11 09:00:00,62.60594940185547
2000-09-12 09:00:00,62.10478973388672
2000-09-13 09:00:00,62.60594940185547
2000-09-14 09:00:00,61.60410690307617
2000-09-15 09:00:00,62.10478973388672
2000-09-18 09:00:00,61.103424072265625
2000-09-19 09:00:00,59.85099792480469
2000-09-20 09:00:00,58.34846878051758
2000-09-21 09:00:00,57.84778594970703
2000-09-22 09:00:00,54.091468811035156
2000-09-25 09:00:00,54.34156799316406
2000-09-26 09:00:00,56.845943450927734
2000-09-27 09:00:00,58.09836959838867
2000-09-28 09:00:00,56.34526062011719
2000-09-29 09:00:00,53.59030532836914
2000-10-02 09:00:00,51.0864143371582
2000-10-03 09:00:00,52.58893966674805
2000-10-04 09:00:00,49.833988189697266
2000-10-05 09:00:00,52.83904266357422
2000-10-06 09:00:00,55.09283447265625
2000-10-09 09:00:00,55.343414306640625
2000-10-10 09:00:00,53.840885162353516
2000-10-11 09:00:00,52.08777618408203
2000-10-12 09:00:00,50.58525085449219
2000-10-13 09:00:00,49.08272171020508
2000-10-16 09:00:00,48.331459045410156
2000-10-17 09:00:00,47.580196380615234
2000-10-18 09:00:00,47.07951354980469
2000-10-19 09:00:00,43.32319641113281
2000-10-20 09:00:00,43.57377624511719
2000-10-23 09:00:00,49.833988189697266
2000-10-24 09:00:00,53.089622497558594
